,amazon_product_url,author,description,publisher,title,oid,bestsellers_date.numberLong,published_date.numberLong,rank.numberInt,rank_last_week.numberInt,weeks_on_list.numberInt,price.numberDouble
1238,http://www.amazon.com/Silver-Borne-Mercy-Thompson-Book/dp/044101996X?tag=NYTBS-20,Patricia Briggs,Descr: The shapeshifter Mercy Thompson works on her relationship with the leader of the werewolf pack and helps a suicidal friend.     ,Ace,SILVER BORNE,5b4aa4ead3089013507db951,2010-04-18 00:00:00,1272758400000,11,6,3,24.95
1239,http://www.amazon.com/The-Bride-Collector-Ted-Dekker/dp/1599953722?tag=NYTBS-20,Ted Dekker,Descr: An F.B.I. agent pursuing a killer who targets beautiful young women enlists the help of the residents of a home for the intellectually gifted mentally ill.     ,Center Street,THE BRIDE COLLECTOR,5b4aa4ead3089013507db954,2010-04-18 00:00:00,1272758400000,14,0,1,24.99
1240,http://www.amazon.com/Abraham-Lincoln-Vampire-Seth-Grahame-Smith/dp/0446563072?tag=NYTBS-20,Seth Grahame-Smith,Descr: Lincoln vs. the undead.     ,Grand Central,ABRAHAM LINCOLN: VAMPIRE HUNTER,5b4aa4ead3089013507db955,2010-04-18 00:00:00,1272758400000,No Rank,13,7,21.99
1241,http://www.amazon.com/Deliver-Us-Evil-David-Baldacci/dp/0446564079?tag=NYTBS-20,David Baldacci,"Descr: Two agents are tracking the same man, a human trafficker who is now dealing in nuclear arms.     ",Grand Central,DELIVER US FROM EVIL,5b4aa4ead3089013507db95b,2010-04-25 00:00:00,1273363200000,1,0,1,27.99
1242,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db95c,2010-04-25 00:00:00,1273363200000,2,2,56,24.95
1244,http://www.amazon.com/This-Body-Death-Inspector-Lynley/dp/0061160881?tag=NYTBS-20,Elizabeth George,Descr: Detective Thomas Lynley becomes involved when a woman’s body is found in a London cemetery.     ,Harper/HarperCollins,THIS BODY OF DEATH,5b4aa4ead3089013507db95e,2010-04-25 00:00:00,1273363200000,4,0,1,28.99
1245,http://www.amazon.com/Lucid-Intervals-Stone-Barrington-Novel/dp/0399156445?tag=NYTBS-20,Stuart Woods,"Descr: Stone Barrington, the New York cop turned lawyer, helps search for a former British intelligence operative.     ",Putnam,LUCID INTERVALS,5b4aa4ead3089013507db95f,2010-04-25 00:00:00,1273363200000,5,0,1,25.95
1247,http://www.amazon.com/Burning-Lamp-Dreamlight-Trilogy-Society/dp/051514925X?tag=NYTBS-20,Amanda Quick,"Descr: A Victorian crime lord fears he has fallen prey to an ancestral curse, and only a magical artifact can save him; an Arcane Society novel and the second book in the Dreamlight trilogy.     ",Putnam,BURNING LAMP,5b4aa4ead3089013507db961,2010-04-25 00:00:00,1273363200000,7,0,1,25.95
1248,http://www.amazon.com/Eight-Days-Live-Forensics-Thriller/dp/0312368143?tag=NYTBS-20,Iris Johansen,"Descr: 
A painting by Eve Duncan’s adopted daughter draws the ire of a religious cult.     ",St. Martin’s,EIGHT DAYS TO LIVE,5b4aa4ead3089013507db963,2010-04-25 00:00:00,1273363200000,9,0,1,27.99
1249,http://www.amazon.com/Changes-A-Novel-Dresden-Files/dp/0451463471?tag=NYTBS-20,Jim Butcher,Descr: Book 12 of the Dresden Files series about a wizard detective in Chicago.     ,Roc,CHANGES,5b4aa4ead3089013507db964,2010-04-25 00:00:00,1273363200000,10,3,3,25.95
1250,http://www.amazon.com/Caught-Harlan-Coben/dp/0451232704?tag=NYTBS-20,Harlan Coben,Descr: A suburban girl goes missing.     ,Dutton,CAUGHT,5b4aa4ead3089013507db965,2010-04-25 00:00:00,1273363200000,11,4,5,27.95
1251,http://www.amazon.com/Matterhorn-A-Novel-Vietnam-War/dp/0802145310?tag=NYTBS-20,Karl Marlantes,Descr: Marines in Vietnam in 1969.     ,El León Literary Arts/Atlantic Monthly,MATTERHORN,5b4aa4ead3089013507db967,2010-04-25 00:00:00,1273363200000,13,7,5,24.95
1254,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db971,2010-05-02 00:00:00,1273968000000,3,2,57,24.95
1255,http://www.amazon.com/Deliver-Us-Evil-David-Baldacci/dp/0446564079?tag=NYTBS-20,David Baldacci,"Descr: Two agents are tracking the same man, a human trafficker who is now dealing in nuclear arms.     ",Grand Central,DELIVER US FROM EVIL,5b4aa4ead3089013507db972,2010-05-02 00:00:00,1273968000000,4,1,2,27.99
1256,http://www.amazon.com/Hannahs-Blossom-Street-Debbie-Macomber/dp/0778327809?tag=NYTBS-20,Debbie Macomber,Descr: A doctor receives a letter from his dead wife in which she asks him to marry one of three women she has chosen for him.     ,Mira,HANNAH'S LIST,5b4aa4ead3089013507db973,2010-05-02 00:00:00,1273968000000,No Rank,0,1,24.95
1259,http://www.amazon.com/This-Body-Death-Inspector-Lynley/dp/0061160881?tag=NYTBS-20,Elizabeth George,Descr: Detective Thomas Lynley becomes involved when a woman’s body is found in a London cemetery.     ,Harper/HarperCollins,THIS BODY OF DEATH,5b4aa4ead3089013507db976,2010-05-02 00:00:00,1273968000000,8,4,2,28.99
1260,http://www.amazon.com/Lucid-Intervals-Stone-Barrington-Novel/dp/0399156445?tag=NYTBS-20,Stuart Woods,"Descr: Stone Barrington, the New York cop turned lawyer, helps search for a former British intelligence operative.     ",Putnam,LUCID INTERVALS,5b4aa4ead3089013507db977,2010-05-02 00:00:00,1273968000000,9,5,2,25.95
1261,http://www.amazon.com/Changes-A-Novel-Dresden-Files/dp/0451463471?tag=NYTBS-20,Jim Butcher,Descr: Book 12 of the Dresden Files series about a wizard detective in Chicago.     ,Roc,CHANGES,5b4aa4ead3089013507db97b,2010-05-02 00:00:00,1273968000000,13,10,4,25.95
1262,http://www.amazon.com/Eight-Days-Live-Forensics-Thriller/dp/0312368143?tag=NYTBS-20,Iris Johansen,Descr: A painting by Eve Duncan’s adopted daughter draws the ire of a religious cult.     ,St. Martin’s,EIGHT DAYS TO LIVE,5b4aa4ead3089013507db97c,2010-05-02 00:00:00,1273968000000,14,9,2,27.99
1263,http://www.amazon.com/Burning-Lamp-Dreamlight-Trilogy-Society/dp/051514925X?tag=NYTBS-20,Amanda Quick,Descr: A Victorian crime lord fears he has fallen prey to an ancestral curse; an Arcane Society novel.     ,Putnam,BURNING LAMP,5b4aa4ead3089013507db97d,2010-05-02 00:00:00,1273968000000,15,7,2,25.95
1264,http://www.amazon.com/Island-Beneath-Sea-A-Novel/dp/0061988243?tag=NYTBS-20,Isabel Allende,Descr: The story of a mulatto slave in late-18th-century Haiti who flees with her master to New Orleans.     ,Harper/HarperCollins,ISLAND BENEATH THE SEA,5b4aa4ead3089013507db97e,2010-05-02 00:00:00,1273968000000,16,0,1,26.99
1265,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,Charlaine Harris,Descr: Sookie Stackhouse is exhausted in the aftermath of a Fae war.     ,Ace,DEAD IN THE FAMILY,5b4aa4ead3089013507db983,2010-05-09 00:00:00,1274572800000,1,0,1,25.95
1267,http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,Scott Turow,"Descr: When Rusty Sabich’s wife is found dead, Tommy Molto accuses him of murder for the second time, as Turow revisits the characters from “Presumed Innocent.”     ",Grand Central,INNOCENT,5b4aa4ead3089013507db985,2010-05-09 00:00:00,1274572800000,3,0,1,27.99
1268,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db986,2010-05-09 00:00:00,1274572800000,4,3,58,24.95
1269,http://www.amazon.com/Deliver-Us-Evil-David-Baldacci/dp/0446564079?tag=NYTBS-20,David Baldacci,"Descr: Two agents are tracking the same man, a human trafficker who is now dealing in nuclear arms.     ",Grand Central,DELIVER US FROM EVIL,5b4aa4ead3089013507db987,2010-05-09 00:00:00,1274572800000,5,4,3,27.99
1272,http://www.amazon.com/Hannahs-Blossom-Street-Debbie-Macomber/dp/0778327809?tag=NYTBS-20,Debbie Macomber,Descr: A doctor receives a letter from his dead wife in which she asks him to marry one of three women she has chosen for him.     ,Mira,HANNAH'S LIST,5b4aa4ead3089013507db98a,2010-05-09 00:00:00,1274572800000,8,5,2,24.95
1274,http://www.amazon.com/Tell-All-Chuck-Palahniuk/dp/0385526350?tag=NYTBS-20,Chuck Palahniuk,"Descr: 
A much-married star is seduced by a bounder who has written a memoir about her death in this sendup of celebrity culture.     ",Doubleday,TELL-ALL,5b4aa4ead3089013507db98c,2010-05-09 00:00:00,1274572800000,10,0,1,24.95
1276,http://www.amazon.com/Island-Beneath-Sea-A-Novel/dp/0061988243?tag=NYTBS-20,Isabel Allende,Descr: The story of a mulatto slave in late-18th-century Haiti who flees with her master to New Orleans.     ,Harper/HarperCollins,ISLAND BENEATH THE SEA,5b4aa4ead3089013507db990,2010-05-09 00:00:00,1274572800000,14,16,2,26.99
1277,http://www.amazon.com/This-Body-Death-Inspector-Lynley/dp/0061160881?tag=NYTBS-20,Elizabeth George,Descr: Detective Thomas Lynley becomes involved when a woman’s body is found in a London cemetery.     ,Harper/HarperCollins,THIS BODY OF DEATH,5b4aa4ead3089013507db991,2010-05-09 00:00:00,1274572800000,No Rank,8,3,28.99
1278,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,Charlaine Harris,Descr: Sookie Stackhouse is exhausted in the aftermath of a Fae war.     ,Ace,DEAD IN THE FAMILY,5b4aa4ead3089013507db997,2010-05-16 00:00:00,1275177600000,1,1,2,25.95
1279,http://www.amazon.com/Heart-Matter-Emily-Giffin/dp/0312554176?tag=NYTBS-20,Emily Giffin,"Descr: The lives of two women — one married to a pediatric plastic surgeon, the other a lawyer and single mother — converge after an accident involving the lawyer’s son.     ",St. Martin’s,HEART OF THE MATTER,5b4aa4ead3089013507db998,2010-05-16 00:00:00,1275177600000,2,0,1,26.99
1281,http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,Scott Turow,"Descr: When Rusty Sabich’s wife is found dead, Tommy Molto accuses him of murder for the second time, as Turow revisits the characters from “Presumed Innocent.”     ",Grand Central,INNOCENT,5b4aa4ead3089013507db99a,2010-05-16 00:00:00,1275177600000,No Rank,3,2,27.99
1283,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db99c,2010-05-16 00:00:00,1275177600000,No Rank,4,59,24.95
1284,http://www.amazon.com/Deliver-Us-Evil-David-Baldacci/dp/0446564079?tag=NYTBS-20,David Baldacci,"Descr: Two agents are tracking the same man, a human trafficker who is now dealing in nuclear arms.     ",Grand Central,DELIVER US FROM EVIL,5b4aa4ead3089013507db99d,2010-05-16 00:00:00,1275177600000,7,5,4,27.99
1285,http://www.amazon.com/Matterhorn-A-Novel-Vietnam-War/dp/0802145310?tag=NYTBS-20,Karl Marlantes,Descr: Marines in Vietnam in 1969.     ,El León Literary Arts/Atlantic Monthly,MATTERHORN,5b4aa4ead3089013507db99f,2010-05-16 00:00:00,1275177600000,9,0,6,24.95
1287,http://www.amazon.com/Hannahs-Blossom-Street-Debbie-Macomber/dp/0778327809?tag=NYTBS-20,Debbie Macomber,Descr: A doctor receives a letter from his dead wife in which she asks him to marry one of three women she has chosen for him.     ,Mira,HANNAH'S LIST,5b4aa4ead3089013507db9a1,2010-05-16 00:00:00,1275177600000,11,8,3,24.95
1289,http://www.amazon.com/Island-Beneath-Sea-A-Novel/dp/0061988243?tag=NYTBS-20,Isabel Allende,Descr: The story of a mulatto slave in late-18th-century Haiti who flees with her master to New Orleans.     ,Harper/HarperCollins,ISLAND BENEATH THE SEA,5b4aa4ead3089013507db9a3,2010-05-16 00:00:00,1275177600000,13,14,3,26.99
1290,http://www.amazon.com/This-Body-Death-Inspector-Lynley/dp/0061160881?tag=NYTBS-20,Elizabeth George,Descr: Detective Thomas Lynley becomes involved when a woman’s body is found in a London cemetery.     ,Harper/HarperCollins,THIS BODY OF DEATH,5b4aa4ead3089013507db9a4,2010-05-16 00:00:00,1275177600000,14,15,4,28.99
1292,http://www.amazon.com/Storm-Prey-John-Sandford/dp/0399156496?tag=NYTBS-20,John Sandford,Descr: Lucas Davenport’s wife is a witness to a botched robbery and murder in the 20th novel in the “Prey” series.     ,Putnam,STORM PREY,5b4aa4ead3089013507db9ac,2010-05-23 00:00:00,1275782400000,2,0,1,27.95
1293,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,Charlaine Harris,Descr: Sookie Stackhouse is exhausted in the aftermath of a Fae war.     ,Ace,DEAD IN THE FAMILY,5b4aa4ead3089013507db9ad,2010-05-23 00:00:00,1275782400000,3,1,3,25.95
1294,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db9ae,2010-05-23 00:00:00,1275782400000,4,6,60,24.95
1295,http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,Scott Turow,"Descr: When Rusty Sabich’s wife is found dead, Tommy Molto accuses him of murder for the second time, as Turow revisits the characters from “Presumed Innocent.”     ",Grand Central,INNOCENT,5b4aa4ead3089013507db9af,2010-05-23 00:00:00,1275782400000,5,4,3,27.99
1296,http://www.amazon.com/Heart-Matter-Emily-Giffin/dp/0312554176?tag=NYTBS-20,Emily Giffin,"Descr: The lives of two women — one married to a pediatric plastic surgeon, the other a lawyer and single mother — converge after an accident involving the lawyer’s son.     ",St. Martin’s,HEART OF THE MATTER,5b4aa4ead3089013507db9b0,2010-05-23 00:00:00,1275782400000,No Rank,2,2,26.99
1299,http://www.amazon.com/Deliver-Us-Evil-David-Baldacci/dp/0446564079?tag=NYTBS-20,David Baldacci,"Descr: Two agents are tracking the same man, a human trafficker who is now dealing in nuclear arms.     ",Grand Central,DELIVER US FROM EVIL,5b4aa4ead3089013507db9b3,2010-05-23 00:00:00,1275782400000,9,7,5,27.99
1300,http://www.amazon.com/Supreme-Justice-A-Novel-Suspense/dp/0061926515?tag=NYTBS-20,Phillip Margolin,Descr: Attacks on two justices seem to be related to a pending death-row appeal that could expose a criminal plot within the C.I.A.     ,Harper/HarperCollins,SUPREME JUSTICE,5b4aa4ead3089013507db9b5,2010-05-23 00:00:00,1275782400000,11,0,1,25.99
1303,http://www.amazon.com/Matterhorn-A-Novel-Vietnam-War/dp/0802145310?tag=NYTBS-20,Karl Marlantes,Descr: Marines in Vietnam in 1969.     ,El León Literary Arts/Atlantic Monthly,MATTERHORN,5b4aa4ead3089013507db9b9,2010-05-23 00:00:00,1275782400000,15,9,7,24.95
1304,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,Descr: The third volume of a trilogy about a Swedish hacker and a journalist.     ,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507db9bf,2010-05-30 00:00:00,1276387200000,1,0,1,27.95
1305,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,Charlaine Harris,Descr: Sookie Stackhouse is exhausted in the aftermath of a Fae war.     ,Ace,DEAD IN THE FAMILY,5b4aa4ead3089013507db9c0,2010-05-30 00:00:00,1276387200000,2,3,4,25.95
1306,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db9c2,2010-05-30 00:00:00,1276387200000,4,4,61,24.95
1307,http://www.amazon.com/Storm-Prey-John-Sandford/dp/0399156496?tag=NYTBS-20,John Sandford,Descr: Lucas Davenport’s wife is a witness to a botched robbery and murder in the 20th novel in the “Prey” series.     ,Putnam,STORM PREY,5b4aa4ead3089013507db9c3,2010-05-30 00:00:00,1276387200000,5,2,2,27.95
1308,http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,Scott Turow,Descr: Turow revisits the characters from “Presumed Innocent.”     ,Grand Central,INNOCENT,5b4aa4ead3089013507db9c4,2010-05-30 00:00:00,1276387200000,6,5,4,27.99
1309,http://www.amazon.com/Heart-Matter-Emily-Giffin/dp/0312554176?tag=NYTBS-20,Emily Giffin,"Descr: The lives of two women — one married to a pediatric plastic surgeon, the other a lawyer and single mother — converge after an accident involving the lawyer’s son.     ",St. Martin’s,HEART OF THE MATTER,5b4aa4ead3089013507db9c5,2010-05-30 00:00:00,1276387200000,7,6,3,26.99
1310,http://www.amazon.com/Blockade-Billy-Stephen-King/dp/1451608217?tag=NYTBS-20,Stephen King,"Descr: A tale about the dark side of baseball, circa 1957.     ",Simon & Schuster,BLOCKADE BILLY,5b4aa4ead3089013507db9c7,2010-05-30 00:00:00,1276387200000,9,0,1,14.99
1313,http://www.amazon.com/Deliver-Us-Evil-David-Baldacci/dp/0446564079?tag=NYTBS-20,David Baldacci,"Descr: Two agents are tracking the same man, a human trafficker who is now dealing in nuclear arms.     ",Grand Central,DELIVER US FROM EVIL,5b4aa4ead3089013507db9ca,2010-05-30 00:00:00,1276387200000,12,9,6,27.99
1314,http://www.amazon.com/Dangerous-Diana-Palmer/dp/0373774591?tag=NYTBS-20,Diana Palmer,Descr: A Texas F.B.I. agent falls in love with a woman with a past.     ,HQN,DANGEROUS,5b4aa4ead3089013507db9cb,2010-05-30 00:00:00,1276387200000,13,0,1,24.95
1315,http://www.amazon.com/Matterhorn-A-Novel-Vietnam-War/dp/0802145310?tag=NYTBS-20,Karl Marlantes,Descr: Marines in Vietnam in 1969.     ,El León Literary Arts/Atlantic Monthly,MATTERHORN,5b4aa4ead3089013507db9cd,2010-05-30 00:00:00,1276387200000,15,15,8,24.95
1317,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,Descr: The third volume of a trilogy about a Swedish hacker and a journalist.     ,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507db9d3,2010-06-06 00:00:00,1276992000000,1,1,2,27.95
1320,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db9d6,2010-06-06 00:00:00,1276992000000,4,4,62,24.95
1321,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,Charlaine Harris,Descr: Sookie Stackhouse is exhausted in the aftermath of a Fae war.     ,Ace,DEAD IN THE FAMILY,5b4aa4ead3089013507db9d7,2010-06-06 00:00:00,1276992000000,No Rank,2,5,25.95
1322,http://www.amazon.com/The-Burning-Wire-Lincoln-Rhyme/dp/1439156344?tag=NYTBS-20,Jeffery Deaver,Descr: The forensic detective Lincoln Rhyme investigates a series of murderous electrical explosions and tracks the killer known as the Watchmaker to Mexico.     ,Simon & Schuster,THE BURNING WIRE,5b4aa4ead3089013507db9d9,2010-06-06 00:00:00,1276992000000,7,0,1,26.99
1323,http://www.amazon.com/Storm-Prey-John-Sandford/dp/0399156496?tag=NYTBS-20,John Sandford,Descr: Lucas Davenport’s wife is a witness to a botched robbery and murder in the 20th novel in the “Prey” series.     ,Putnam,STORM PREY,5b4aa4ead3089013507db9da,2010-06-06 00:00:00,1276992000000,8,5,3,27.95
1325,http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,Scott Turow,Descr: Turow revisits the characters from “Presumed Innocent.”     ,Grand Central,INNOCENT,5b4aa4ead3089013507db9dc,2010-06-06 00:00:00,1276992000000,10,6,5,27.99
1326,http://www.amazon.com/Heart-Matter-Emily-Giffin/dp/0312554176?tag=NYTBS-20,Emily Giffin,"Descr: The lives of two women — one married to a pediatric plastic surgeon, the other a lawyer and single mother — converge after an accident involving the lawyer’s son.     ",St. Martin’s,HEART OF THE MATTER,5b4aa4ead3089013507db9dd,2010-06-06 00:00:00,1276992000000,11,7,4,26.99
1328,http://www.amazon.com/Blockade-Billy-Stephen-King/dp/1451608217?tag=NYTBS-20,Stephen King,"Descr: A tale about the dark side of baseball, circa 1957.     ",Scribner,BLOCKADE BILLY,5b4aa4ead3089013507db9df,2010-06-06 00:00:00,1276992000000,13,9,2,14.99
1329,http://www.amazon.com/The-Rule-Nine-Madriani-Novels/dp/0061930210?tag=NYTBS-20,Steve Martini,"Descr: The lawyer Paul Madriani pursues the hired assassin Liquida, who is out for revenge, while a terrorist plots an attack on the United States.     ",Morrow/HarperCollins,THE RULE OF NINE,5b4aa4ead3089013507db9e1,2010-06-06 00:00:00,1276992000000,15,0,1,26.99
1330,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,Descr: The third volume of a trilogy about a Swedish hacker and a journalist.     ,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507db9e7,2010-06-13 00:00:00,1277596800000,1,1,3,27.95
1331,http://www.amazon.com/The-Lion-Nelson-DeMille/dp/0446699608?tag=NYTBS-20,Nelson DeMille,"Descr: John Corey, now a federal agent, pursues a Libyan terrorist who has returned to America bent on revenge.     ",Grand Central,THE LION,5b4aa4ead3089013507db9e8,2010-06-13 00:00:00,1277596800000,2,0,1,27.99
1332,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507db9ea,2010-06-13 00:00:00,1277596800000,4,4,63,24.95
1334,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,Charlaine Harris,Descr: Sookie Stackhouse is exhausted in the aftermath of a Fae war.     ,Ace,DEAD IN THE FAMILY,5b4aa4ead3089013507db9ec,2010-06-13 00:00:00,1277596800000,6,5,6,25.95
1336,http://www.amazon.com/Storm-Prey-John-Sandford/dp/0399156496?tag=NYTBS-20,John Sandford,Descr: Lucas Davenport’s wife is a witness to a botched robbery and murder in the 20th novel in the “Prey” series.     ,Putnam,STORM PREY,5b4aa4ead3089013507db9ef,2010-06-13 00:00:00,1277596800000,9,8,4,27.95
1337,http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,Scott Turow,Descr: Turow revisits the characters from “Presumed Innocent.”     ,Grand Central,INNOCENT,5b4aa4ead3089013507db9f0,2010-06-13 00:00:00,1277596800000,10,10,6,27.99
1338,http://www.amazon.com/Heart-Matter-Emily-Giffin/dp/0312554176?tag=NYTBS-20,Emily Giffin,Descr: The lives of two women converge after an accident.     ,St. Martin’s,HEART OF THE MATTER,5b4aa4ead3089013507db9f1,2010-06-13 00:00:00,1277596800000,11,11,5,26.99
1339,http://www.amazon.com/The-Burning-Wire-Lincoln-Rhyme/dp/1439156344?tag=NYTBS-20,Jeffery Deaver,Descr: The forensic detective Lincoln Rhyme investigates a series of murderous electrical explosions.     ,Simon & Schuster,THE BURNING WIRE,5b4aa4ead3089013507db9f2,2010-06-13 00:00:00,1277596800000,12,7,2,26.99
1342,http://www.amazon.com/Death-Echo-Elizabeth-Lowell/dp/0061629758?tag=NYTBS-20,Elizabeth Lowell,Descr: A former C.I.A. operative tracks a yacht with a deadly cargo.     ,Morrow/HarperCollins,DEATH ECHO,5b4aa4ead3089013507db9f5,2010-06-13 00:00:00,1277596800000,No Rank,0,1,24.99
1343,http://www.amazon.com/Blockade-Billy-Stephen-King/dp/1451608217?tag=NYTBS-20,Stephen King,"Descr: A tale about the dark side of baseball, circa 1957.     ",Scribner,BLOCKADE BILLY,5b4aa4ead3089013507db9f6,2010-06-13 00:00:00,1277596800000,16,13,3,14.99
1344,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,Descr: The third volume of a trilogy about a Swedish hacker and a journalist.     ,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507db9fc,2010-06-20 00:00:00,1278201600000,2,1,4,27.95
1345,http://www.amazon.com/The-Lion-Nelson-DeMille/dp/0446699608?tag=NYTBS-20,Nelson DeMille,"Descr: John Corey, now a federal agent, pursues a Libyan terrorist who has returned to America bent on revenge.     ",Grand Central,THE LION,5b4aa4ead3089013507db9fd,2010-06-20 00:00:00,1278201600000,3,2,2,27.99
1346,http://www.amazon.com/Whiplash-FBI-Thriller-Catherine-Coulter/dp/0515149357?tag=NYTBS-20,Catherine Coulter,"Descr: 
The F.B.I. agents Dillon Savich and Lacey Sherlock help investigate misdeeds at a pharmaceutical company.     ",Putnam,WHIPLASH,5b4aa4ead3089013507db9ff,2010-06-20 00:00:00,1278201600000,5,0,1,26.95
1347,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507dba00,2010-06-20 00:00:00,1278201600000,6,4,64,24.95
1350,http://www.amazon.com/Innocent-Scott-Turow/dp/0446562416?tag=NYTBS-20,Scott Turow,Descr: Turow revisits the characters from “Presumed Innocent.”     ,Grand Central,INNOCENT,5b4aa4ead3089013507dba06,2010-06-20 00:00:00,1278201600000,12,10,7,27.99
1351,http://www.amazon.com/Dead-Family-Sookie-Stackhouse-Novel/dp/0441020151?tag=NYTBS-20,Charlaine Harris,Descr: Sookie Stackhouse is exhausted in the aftermath of a Fae war.     ,Ace,DEAD IN THE FAMILY,5b4aa4ead3089013507dba07,2010-06-20 00:00:00,1278201600000,13,6,7,25.95
1354,http://www.amazon.com/Sizzling-Sixteen-Stephanie-Plum-Novels/dp/0312383312?tag=NYTBS-20,Janet Evanovich,Descr: The bounty hunter Stephanie Plum comes to the aid of a cousin with gambling debts.     ,St.Martin’s,SIZZLING SIXTEEN,5b4aa4ead3089013507dba0f,2010-06-27 00:00:00,1278806400000,1,0,1,27.99
1355,http://www.amazon.com/Girl-Kicked-Hornets-Millennium-Trilogy/dp/030726999X?tag=NYTBS-20,Stieg Larsson,Descr: The third volume of a trilogy about a Swedish hacker and a journalist.     ,Knopf,THE GIRL WHO KICKED THE HORNET’S NEST,5b4aa4ead3089013507dba10,2010-06-27 00:00:00,1278806400000,No Rank,2,5,27.95
1356,http://www.amazon.com/The-Lion-Nelson-DeMille/dp/0446699608?tag=NYTBS-20,Nelson DeMille,"Descr: John Corey, now a federal agent, pursues a Libyan terrorist who has returned to America bent on revenge.     ",Grand Central,THE LION,5b4aa4ead3089013507dba13,2010-06-27 00:00:00,1278806400000,5,3,3,27.99
1357,http://www.amazon.com/The-Help-Kathryn-Stockett/dp/0425232204?tag=NYTBS-20,Kathryn Stockett,Descr: A young white woman and two black maids in 1960s ­Mississippi.     ,Amy Einhorn/Putnam,THE HELP,5b4aa4ead3089013507dba14,2010-06-27 00:00:00,1278806400000,6,6,65,24.95
